Model,Strategy,Avg_NDCG_Similar,Avg_NDCG_Dissimilar,Avg_NDCG_Neutral,Delta_Similar,Delta_Dissimilar,Delta_groups
Gemma,ADD,0.9225199708988212,0.87209381228475,0.9104313971019554,0.012088573796865787,-0.038337584817205395,0.05042615861407118
Gemma,APP,0.899173020496756,0.8470705233127699,0.8805957305322726,0.01857728996448338,-0.033525207219502695,0.052102497183986074
Gemma,LMS,0.8032260478865448,0.729799395565272,0.7763288999073423,0.026897147979202507,-0.04652950434207037,0.07342665232127288
Gemma,MPL,0.9568546525937449,0.9434536872969861,0.9570428693277048,-0.00018821673395985616,-0.013589182030718683,0.013400965296758827
Llama,ADD,0.9476833204706994,0.9115268033224053,0.9226598558820478,0.025023464588651567,-0.011133052559642476,0.03615651714829404
Llama,APP,0.882144102412219,0.8271159080612552,0.8643745422761739,0.017769560136045026,-0.03725863421491871,0.05502819435096373
Llama,LMS,0.8708591869651738,0.8089171786830264,0.8162629424578479,0.05459624450732592,-0.007345763774821545,0.061942008282147465
Llama,MPL,0.8931218695229444,0.8392383197286426,0.8873685609026057,0.005753308620338626,-0.04813024117396314,0.053883549794301766
Mistral,ADD,0.9105541158685045,0.8698121615513343,0.8849571033331313,0.025597012535373276,-0.015144941781796928,0.040741954317170204
Mistral,APP,0.8520272857350732,0.8334156446652631,0.8388086187566584,0.013218666978414895,-0.005392974091395275,0.01861164106981017
Mistral,LMS,0.8713473294849975,0.7895448416853479,0.8099686557697832,0.06137867371521433,-0.020423814084435277,0.0818024877996496
Mistral,MPL,0.8574120300486368,0.8416050136629585,0.8593055911685529,-0.0018935611199161206,-0.017700577505594395,0.015807016385678274
Phi,ADD,0.9257028035256475,0.8881623580401498,0.9062952907957208,0.01940751272992669,-0.01813293275557104,0.03754044548549773
Phi,APP,0.8951286844515859,0.8418545017730543,0.8634807214420661,0.031647963009519775,-0.021626219669011792,0.05327418267853157
Phi,LMS,0.8134013050321979,0.765773461327949,0.7938118400477279,0.019589464984470006,-0.028038378719778878,0.047627843704248884
Phi,MPL,0.9232093768420822,0.8817939032820573,0.9062668799716024,0.016942496870479773,-0.024472976689545067,0.04141547356002484
Random,ADD,0.6625878794648838,0.6417232860783373,0.6794343184961281,-0.016846439031244276,-0.037711032417790835,0.02086459338654656
Random,APP,0.6935825620931018,0.6506852850032702,0.6650689502864837,0.028513611806618044,-0.014383665283213554,0.0428972770898316
Random,LMS,0.6498628262592739,0.6462004434391464,0.6740171725595336,-0.0241543463002597,-0.02781672912038724,0.003662382820127541
Random,MPL,0.6612131569987063,0.6478077932665701,0.6610337510978341,0.000179405900872176,-0.013225957831264012,0.013405363732136188
