groupId,group_size,vector_llama,vector_mistral,vector_gemma,vector_phi,vector_ADD,vector_MPL,vector_LMS,vector_APP,vector_random
5001,4,"[6453, 27769, 47239, 79785, 2649, 73848, 46658, 44580, 5931, 47530]","[5931, 4752, 80552, 75516, 36967, 37966, 9115, 21333, 55990, 90364]","[47530, 47612, 4752, 58398, 9390, 59952, 47530, 36967, 58398, 4752]","[2649, 73848, 71463, 79785, 58398, 42375, 4752, 75516, 16359, 44580]","[46658, 47530, 6453, 44580, 51341, 73848, 42375, 90364, 41330, 84452]","[16359, 62344, 2649, 4752, 42375, 16111, 73848, 47530, 51341, 58379]","[6453, 44580, 46658, 51341, 47530, 84452, 26663, 41330, 13193, 75776]","[6453, 51341, 41330, 90364, 46658, 73848, 75516, 42375, 2649, 47530]","[17602, 47239, 46658, 18154, 2649, 79785, 50786, 90364, 29964, 51341]"
5002,4,"[2649, 71463, 42375, 73848, 50786, 23106, 5931, 4752, 58398, 2173]","[5931, 62344, 4752, 58398, 32805, 47530, 15051, 42378, 61135, 75776]","[47612, 36967, 2173, 59952, 15051, 36878, 42378, 9390, 55990, 4752]","[58379, 55080, 85470, 50786, 23106, 5931, 62344, 2173, 39238, 75516]","[50786, 85470, 9390, 23106, 21333, 5931, 2649, 18154, 42375, 9115]","[27769, 5931, 71463, 2173, 50786, 25125, 44838, 94019, 9390, 47612]","[23106, 50786, 9390, 85470, 41888, 21333, 75516, 90598, 39238, 55103]","[50786, 23106, 18154, 58379, 41888, 9115, 9390, 21333, 73848, 51576]","[28867, 24690, 47239, 21333, 55080, 15051, 47530, 13201, 90364, 67012]"
5003,4,"[79785, 16798, 2649, 31852, 82962, 29964, 58379, 55080, 44838, 94019]","[2173, 90364, 58398, 36967, 84452, 4752, 37966, 15051, 62344, 36878]","[36967, 90364, 36878, 90952, 36967, 90364, 36878, 90952, 36967, 90364]","[16111, 23106, 36878, 36967, 84452, 90598, 55080, 78408, 90364, 59952]","[36878, 23106, 16359, 16111, 59952, 84452, 2173, 41888, 55103, 17602]","[84452, 67012, 36967, 11624, 90364, 16111, 2173, 16359, 55080, 42378]","[23106, 36878, 59952, 58398, 16111, 44580, 55103, 41888, 44838, 16359]","[23106, 84452, 36878, 78408, 35508, 17602, 61135, 55990, 16359, 35983]","[39238, 41888, 4403, 36967, 90364, 42375, 21333, 13201, 82962, 2649]"
5004,4,"[16798, 2649, 31852, 79785, 67012, 47239, 6557, 16111, 78408, 42375]","[25125, 37966, 42378, 59952, 61135, 75776, 80552, 82177, 90364, 9390]","[42378, 25125, 13193, 59952, 42378, 2173, 15051, 37966, 82177, 9390]","[16798, 55080, 16111, 42375, 73848, 78408, 37966, 41888, 25125, 58379]","[16798, 25125, 78408, 42378, 73848, 82177, 6557, 58379, 21333, 31852]","[13193, 41888, 58398, 15051, 58379, 16798, 73848, 2649, 75516, 62344]","[25125, 16798, 73848, 42378, 6557, 21333, 78408, 9390, 31852, 81206]","[42378, 6557, 16798, 73848, 25125, 58379, 16359, 82177, 78408, 37966]","[71463, 41888, 31852, 26663, 55080, 62344, 16359, 39238, 9115, 41330]"
5005,4,"[27769, 90598, 31852, 20066, 78408, 42375, 35983, 51664, 9390, 80552]","[36967, 51664, 28867, 37966, 41888, 9115, 9390, 21333, 59952, 25125]","[35983, 51664, 36878, 9390, 32805, 42378, 37966, 41888, 51564, 36967]","[27769, 31852, 90598, 51664, 9115, 13193, 36878, 55080, 82962, 58379]","[90598, 27769, 51664, 35983, 31852, 78408, 20066, 47239, 41888, 32805]","[11624, 5931, 20066, 36878, 25125, 85470, 51664, 6453, 13193, 31852]","[90598, 35983, 31852, 27769, 47239, 51664, 29964, 62344, 79785, 50786]","[90598, 27769, 37966, 41888, 9390, 78408, 29964, 23106, 51664, 31852]","[47530, 55103, 63336, 29964, 50786, 13193, 26663, 25125, 16111, 39238]"
5006,4,"[16798, 24690, 44580, 58379, 41330, 47612, 82177, 75516, 37966, 39238]","[39238, 41330, 5931, 62344, 75516, 80552, 82177, 9115, 25125, 55990]","[47612, 82177, 36878, 47530, 35983, 41330, 84452, 36967, 4752, 55990]","[16798, 24690, 58379, 55080, 44838, 23106, 4752, 39238, 75516, 36878]","[16798, 39238, 24690, 44580, 41330, 82177, 36878, 55080, 47612, 63336]","[4752, 16798, 23106, 85470, 24690, 16359, 51341, 36878, 18154, 84452]","[39238, 16798, 44580, 25125, 47612, 55080, 41330, 36878, 31852, 6453]","[16798, 39238, 18154, 31852, 90598, 44580, 24690, 41330, 58379, 63336]","[75776, 6557, 6453, 51664, 82962, 80552, 71463, 73848, 4403, 63336]"
5007,4,"[79785, 67012, 24690, 16111, 17602, 9390, 75516, 51664, 90364, 4403]","[9390, 2173, 58398, 47530, 15051, 62344, 75776, 36878, 28867, 51664]","[36878, 47530, 75776, 47612, 9390, 36878, 47530, 75776, 47612, 9390]","[55080, 24690, 16111, 55103, 51576, 17602, 32805, 47530, 15051, 75516]","[51576, 24690, 55080, 81206, 9390, 63336, 94019, 17602, 51664, 50786]","[75776, 55080, 24690, 9390, 47530, 47239, 17602, 4403, 62344, 36878]","[51576, 24690, 90598, 51664, 55080, 63336, 81206, 17602, 59952, 9390]","[24690, 51576, 75516, 94019, 63336, 55080, 51664, 71463, 81206, 50786]","[27769, 9115, 2173, 58379, 9390, 63336, 41888, 90364, 29964, 61135]"
5008,4,"[73848, 42375, 90598, 78408, 75516, 36967, 82177, 41888, 9115, 55990]","[2173, 90364, 58398, 37966, 13193, 47530, 25125, 59952, 36967, 9115]","[4752, 9115, 55990, 13193, 90364, 47612, 15051, 61135, 2173, 37966]","[27769, 26663, 73848, 63336, 2173, 75516, 37966, 9115, 13193, 90364]","[2173, 27769, 63336, 90364, 73848, 26663, 75516, 50786, 6557, 42375]","[73848, 80552, 55080, 4752, 2173, 16111, 82962, 62344, 27769, 42375]","[2173, 73848, 75516, 90364, 50786, 63336, 6557, 27769, 9390, 66219]","[2173, 18154, 26663, 78408, 24690, 51576, 27769, 44838, 71463, 29964]","[23106, 90364, 13201, 58398, 80552, 71463, 79785, 21333, 66219, 6557]"
5009,4,"[47239, 44838, 20066, 84452, 47530, 51664, 37966, 9115, 9390, 90364]","[9115, 37966, 28867, 4752, 58398, 13193, 25125, 55990, 90364, 4403]","[9115, 4752, 51664, 13193, 47530, 90364, 59952, 32805, 36878, 21333]","[6453, 47239, 42375, 51664, 9115, 9390, 44838, 63336, 55103, 84452]","[47239, 51664, 44838, 4752, 47530, 84452, 9390, 20066, 9115, 90364]","[9115, 6453, 20066, 5931, 9390, 51664, 44838, 47239, 47530, 4752]","[51664, 4752, 47239, 11624, 90364, 47612, 44838, 63336, 37966, 25125]","[51664, 4752, 84452, 47530, 20066, 47239, 42378, 11624, 9390, 9115]","[16111, 24690, 11624, 51341, 47530, 32805, 81206, 2649, 41888, 62344]"
5010,4,"[31852, 51576, 75516, 39238, 17602, 35508, 80552, 2173, 78408, 23106]","[35983, 75776, 42378, 15051, 61135, 75516, 36967, 36878, 82177, 51664]","[47612, 75516, 39238, 58398, 47530, 36967, 82177, 41888, 59952, 13193]","[51576, 17602, 24690, 31852, 71463, 39238, 75516, 23106, 2649, 16359]","[51576, 17602, 31852, 75516, 35508, 23106, 18154, 29964, 24690, 16359]","[24690, 16359, 51576, 31852, 39238, 35983, 29964, 75516, 71463, 2649]","[51576, 17602, 29964, 75516, 2649, 35508, 18154, 31852, 24690, 4403]","[51576, 18154, 31852, 75516, 47612, 61135, 42378, 35508, 23106, 63336]","[13193, 21333, 55103, 15051, 16798, 47612, 75776, 51576, 46658, 25125]"
