Model,Strategy,Avg_NDCG_Similar,Avg_NDCG_Dissimilar,Avg_NDCG_Neutral,Delta_Similar,Delta_Dissimilar,Delta_groups
Gemma,ADD,0.8236054942956278,0.8366755965877798,0.8118562140942577,0.011749280201370116,0.024819382493522113,-0.013070102292151997
Gemma,APP,0.7466821039298456,0.778764641164961,0.75205221390129,-0.005370109971444381,0.026712427263671068,-0.03208253723511545
Gemma,LMS,0.6843958508115993,0.6900405354723486,0.6516461522595894,0.03274969855200982,0.03839438321275912,-0.0056446846607492995
Gemma,MPL,0.8217908949250075,0.8509735696485906,0.8371587927243593,-0.015367897799351882,0.013814776924231276,-0.029182674723583157
Llama,ADD,0.8123653491950382,0.8126406674432879,0.8155624619816456,-0.0031971127866073923,-0.002921794538357725,-0.00027531824824966744
Llama,APP,0.7569565770168353,0.7577902351605785,0.7345558215034127,0.022400755513422577,0.02323441365716583,-0.0008336581437432544
Llama,LMS,0.7308232333118542,0.7237470925282101,0.7191425674572852,0.01168066585456895,0.004604525070924903,0.007076140783644047
Llama,MPL,0.7148829594820139,0.7442097279803218,0.7278900836604093,-0.013007124178395446,0.016319644319912507,-0.029326768498307954
Mistral,ADD,0.7668698726479067,0.7505959728361524,0.794485937418056,-0.027616064770149218,-0.04388996458190353,0.01627389981175431
Mistral,APP,0.7390250396510771,0.6757629910979964,0.7334503639834946,0.005574675667582518,-0.05768737288549819,0.06326204855308071
Mistral,LMS,0.6924903101486944,0.7065631654219688,0.7245111829471955,-0.03202087279850108,-0.017948017525226678,-0.014072855273274398
Mistral,MPL,0.7404404887635724,0.7428282202613355,0.7296037425951338,0.010836746168438549,0.013224477666201717,-0.002387731497763168
Phi,ADD,0.8482212973462772,0.8393573179747231,0.8395149781516864,0.00870631919459075,-0.00015766017696328127,0.008863979371554032
Phi,APP,0.7741306016688139,0.7894110787951955,0.783717603548312,-0.009587001879498125,0.0056934752468834615,-0.015280477126381586
Phi,LMS,0.7187013819286049,0.7212447899304089,0.707881722677068,0.01081965925153694,0.01336306725334091,-0.0025434080018039706
Phi,MPL,0.8095604207033105,0.8212810100514477,0.8140319610041005,-0.00447154030079,0.007249049047347245,-0.011720589348137245
Random,ADD,0.5007371957851132,0.5479662916679098,0.5247540620538522,-0.024016866268739,0.023212229614057556,-0.04722909588279656
Random,APP,0.41221044685763886,0.5249563333344164,0.5207275391771292,-0.10851709231949036,0.0042287941572871635,-0.11274588647677752
Random,LMS,0.5303952137315476,0.5095801439105372,0.5132866312096613,0.017108582521886295,-0.0037064872991241504,0.020815069821010446
Random,MPL,0.5214611542588432,0.5371516236000128,0.5147084094707532,0.006752744788089959,0.022443214129259537,-0.015690469341169577
